Centre,Gender,Labour Category,Labour Type,July-14,August-14,September-14,October-14,November-14,December-14,January-15,February-15,March-15,April-15,May-15,June-15,Annual Average,State,District,Centre_length
BUKKAPATINAM,M,FIELD LABOUR,FIELD LABOUR,300.00,200.00,260.00,165.00,280.00,265.00,275.00,275.00,200.00,200.00,275.00,275.00,247.50,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,FIELD LABOUR,FIELD LABOUR,175.00,150.00,150.00,150.00,180.00,180.00,170.00,170.00,180.00,180.00,150.00,150.00,165.42,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,HERDSMEN,HERDSMEN,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,150.00,150.00,191.67,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,HERDSMEN,HERDSMEN,-,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,150.00,150.00,190.91,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",BLACKSMITH,215.00,200.00,-,-,-,-,-,-,-,-,-,-,207.50,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",CARPENTER,350.00,-,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,320.00,320.00,344.55,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,150.00,150.00,150.00,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
GOLLAPALI,M,FIELD LABOUR,FIELD LABOUR,237.50,200.00,200.00,200.00,-,250.00,250.00,250.00,250.00,250.00,250.00,250.00,235.23,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,FIELD LABOUR,FIELD LABOUR,183.33,150.00,150.00,150.00,-,200.00,250.00,200.00,200.00,200.00,200.00,200.00,189.39,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",350.00,275.00,275.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,350.00,350.00,308.33,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",BLACKSMITH,300.00,300.00,300.00,300.00,300.00,225.00,275.00,275.00,275.00,275.00,300.00,300.00,285.42,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",CARPENTER,300.00,300.00,300.00,300.00,300.00,-,-,-,-,-,300.00,300.00,300.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",COBBLER,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
CHINUR,M,FIELD LABOUR,FIELD LABOUR,314.29,321.00,321.43,321.43,321.43,321.43,321.00,321.43,321.00,321.00,321.00,321.00,320.62,ANDHRA PRADESH,CUDDAPHA,6
