Centre,Gender,Labour Category,Labour Type,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,Annual Average,State,District,Centre_length
ATMAKUR,M,FIELD LABOUR,FIELD LABOUR,300.00,306.00,319.00,319.00,319.00,314.00,324.00,324.00,321.00,321.00,321.00,367.00,321.25,ANDHRA PRADESH,ANANTAPUR,7
ATMAKUR,W,FIELD LABOUR,FIELD LABOUR,264.00,264.00,271.00,257.00,264.00,264.00,271.00,274.00,274.00,274.00,274.00,285.00,269.67,ANDHRA PRADESH,ANANTAPUR,7
ATMAKUR,M,HERDSMEN,HERDSMEN,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,-,250.00,-,-,250.00,ANDHRA PRADESH,ANANTAPUR,7
ATMAKUR,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,7
ATMAKUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,232.00,195.00,195.00,195.00,198.08,ANDHRA PRADESH,ANANTAPUR,7
ATMAKUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,198.00,195.00,195.00,195.00,195.25,ANDHRA PRADESH,ANANTAPUR,7
BUKKAPATNAM,M,FIELD LABOUR,FIELD LABOUR,320.00,350.00,360.00,350.00,350.00,343.00,343.00,343.00,343.00,371.00,379.00,314.00,347.17,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,W,FIELD LABOUR,FIELD LABOUR,215.00,220.00,238.00,240.00,240.00,242.00,242.00,242.00,242.00,257.00,262.00,267.00,242.25,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",248.00,273.00,273.00,273.00,273.00,275.00,273.00,273.00,273.00,298.00,298.00,298.00,277.33,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,195.00,ANDHRA PRADESH,ANANTAPUR,11
