Centre,Gender,Labour Category,Labour Type,State,District,Centre_length,Date,Wage
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,275
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,200
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,-
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,-
KOYYALAGUDEM FIELD LABOUR,M,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,150
KOYYALAGUDEM FIELD LABOUR,W,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,-
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,300
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,250
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,250
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Jul-15,-
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Jul-15,300
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Jul-15,150
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Jul-15,300
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Jul-15,138
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Jul-15,-
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Jul-15,140
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Jul-15,300
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Jul-15,120
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,383
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,-
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,-
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,125
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,268
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,116
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,-
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Jul-15,104
