Centre,Gender,Labour Category,Labour Type,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Annual Average,State,District,Centre_length
BASAR,M,FIELD LABOUR,FIELD LABOUR,95,120,130,130,150,150,180,200,200,200,200,200,162.92,ANDHRA PRADESH,ADILABAD,5
BASAR,W,FIELD LABOUR,FIELD LABOUR,80,100,100,100,140,140,160,190,190,160,160,160,140,ANDHRA PRADESH,ADILABAD,5
BASAR,M,HERDSMEN,HERDSMEN,150,150,150,150,150,150,150,150,150,150,150,160,150.83,ANDHRA PRADESH,ADILABAD,5
BASAR,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ADILABAD,5
BASAR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",75,90,100,100,120,120,150,180,180,180,180,180,137.92,ANDHRA PRADESH,ADILABAD,5
BASAR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",60,70,70,70,100,100,130,170,170,130,130,150,112.5,ANDHRA PRADESH,ADILABAD,5
BUKKAPATINAM,M,FIELD LABOUR,FIELD LABOUR,130,130,150,150,200,200,200,200,200,150,120,125,162.92,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,FIELD LABOUR,FIELD LABOUR,80,80,120,120,150,150,150,150,150,120,120,125,126.25,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,200,200,-,-,-,200,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,150,150,-,-,-,150,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",130,130,150,150,200,200,200,200,200,150,120,125,162.92,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",80,80,120,120,150,150,150,150,150,120,100,100,122.5,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",BLACKSMITH,100,100,100,120,150,150,150,150,150,120,130,140,130,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",CARPENTER,120,120,120,100,200,200,200,200,200,150,180,180,164.17,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
GOLLAPALI,M,FIELD LABOUR,FIELD LABOUR,120,150,150,150,180,180,180,180,180,180,180,200,169.17,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,FIELD LABOUR,FIELD LABOUR,100,120,120,120,150,150,150,150,150,150,150,150,138.33,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150,150,150,150,150,150,180,180,180,180,180,200,166.67,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",120,120,120,120,120,120,150,150,150,150,150,150,135,ANDHRA PRADESH,CHITTOR,9
CHINUR,M,FIELD LABOUR,FIELD LABOUR,130,130,140,140,130,130,140,140,140,140,140,160,138.33,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,FIELD LABOUR,FIELD LABOUR,100,100,120,120,110,110,120,120,120,120,120,140,116.67,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,HERDSMEN,HERDSMEN,50,-,-,-,-,-,-,-,-,-,-,-,50,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,HERDSMEN,HERDSMEN,40,-,-,-,-,-,-,-,-,-,-,-,40,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,100,110,120,120,120,120,120,130,111.67,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",80,80,80,80,80,90,90,90,90,90,90,110,87.5,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,"SKILLED 
LABOUR",BLACKSMITH,90,90,90,90,90,120,130,130,130,130,130,150,114.17,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,"SKILLED 
LABOUR",CARPENTER,120,120,120,120,120,140,150,150,150,150,150,170,138.33,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CUDDAPHA,6
KOTHAPALLI,M,FIELD LABOUR,FIELD LABOUR,220,220,150,150,150,200,250,200,200,200,150,150,186.67,ANDHRA PRADESH,EAST GODAVARI,10
KOTHAPALLI,W,FIELD LABOUR,FIELD LABOUR,150,150,100,100,120,130,120,100,100,100,100,100,114.17,ANDHRA PRADESH,EAST GODAVARI,10
KOTHAPALLI,M,HERDSMEN,HERDSMEN,70,70,70,70,70,70,70,70,70,70,70,70,70,ANDHRA PRADESH,EAST GODAVARI,10
KOTHAPALLI,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,10
KOTHAPALLI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",200,200,200,200,200,200,200,200,200,200,150,150,191.67,ANDHRA PRADESH,EAST GODAVARI,10
KOTHAPALLI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",120,120,120,120,120,130,120,120,120,120,100,100,117.5,ANDHRA PRADESH,EAST GODAVARI,10
NIZAPATNAM,M,FIELD LABOUR,FIELD LABOUR,140,170,200,200,200,200,200,200,200,200,150,150,184.17,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,W,FIELD LABOUR,FIELD LABOUR,-,170,200,200,200,200,200,200,200,150,150,150,183.64,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,M,HERDSMEN,HERDSMEN,100,150,150,150,150,150,150,150,150,150,150,150,145.83,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",140,150,150,150,150,150,150,150,150,150,150,150,149.17,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,100,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,M,"SKILLED 
LABOUR",BLACKSMITH,80,-,-,-,-,-,-,-,-,-,-,-,80,ANDHRA PRADESH,GUNTUR,10
