Centre,Gender,Labour Category,Labour Type,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,Annual Average,State,District,Centre_length
GOLLAPALI,M,FIELD LABOUR,FIELD LABOUR,350.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,-,300.00,304.55,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,FIELD LABOUR,FIELD LABOUR,260.00,240.00,240.00,240.00,240.00,240.00,250.00,240.00,240.00,200.00,-,240.00,239.09,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,200.00,-,200.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",341.00,325.00,300.00,300.00,325.00,325.00,325.00,325.00,325.00,400.00,-,325.00,328.73,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",BLACKSMITH,250.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,300.00,-,200.00,213.64,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",CARPENTER,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,400.00,350.00,300.00,312.50,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",COBBLER,250.00,-,-,-,-,-,-,-,-,250.00,-,-,250.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
CHINUR,M,FIELD LABOUR,FIELD LABOUR,304.00,321.00,321.00,342.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,342.00,340.00,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,FIELD LABOUR,FIELD LABOUR,235.00,242.00,242.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,249.67,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,HERDSMEN,HERDSMEN,250.00,-,-,-,-,-,-,-,-,-,-,-,250.00,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,HERDSMEN,HERDSMEN,190.00,-,-,-,-,-,-,-,-,-,-,-,190.00,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",400.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,354.17,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,"SKILLED 
LABOUR",BLACKSMITH,300.00,300.00,325.00,325.00,325.00,325.00,325.00,325.00,325.00,350.00,350.00,350.00,327.08,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,"SKILLED 
LABOUR",CARPENTER,350.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,350.00,350.00,350.00,316.67,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,M,"SKILLED 
LABOUR",COBBLER,300.00,-,-,-,-,-,-,-,-,-,-,-,300.00,ANDHRA PRADESH,CUDDAPHA,6
CHINUR,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CUDDAPHA,6
KOTHAPALLI,M,FIELD LABOUR,FIELD LABOUR,379.00,400.00,400.00,400.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,431.58,ANDHRA PRADESH,EAST GODAVARI,10
KOTHAPALLI,W,FIELD LABOUR,FIELD LABOUR,275.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,252.08,ANDHRA PRADESH,EAST GODAVARI,10
